kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
56000,7.81,2996.0,2996.0,333.0,63.75
30615,17.4,999.0,999.0,9863.0,8.99
24000,20.68,1995.0,1995.0,188.0,23.75
18378,16.5,1353.0,1353.0,13808.0,13.56
44900,14.67,1798.0,1798.0,17746.0,24.0
42000,18.7,1199.0,1199.0,887.0,5.45
36739,18.9,1197.0,1197.0,8186.0,5.12
76000,15.8,1591.0,1591.0,1213.0,9.3
68000,13.5,2987.0,2987.0,25479.0,42.0
28783,17.0,1198.0,1198.0,1085.0,8.02
40000,17.4,1497.0,1497.0,1176.0,10.95
17382,16.42,1498.0,1498.0,10455.0,8.99
120000,18.88,1995.0,1995.0,184.0,7.45
17000,18.15,998.0,998.0,11835.0,10.95
26867,18.9,1197.0,1197.0,8186.0,5.78
30000,21.0,1197.0,1197.0,8180.0,8.95
150000,18.88,1995.0,1995.0,184.0,8.5
53000,22.69,1995.0,1995.0,190.0,23.5
40000,17.0,1497.0,1497.0,12136.0,7.95
48000,14.1,1368.0,1368.0,16077.0,18.95
35000,12.4,1996.0,1996.0,21501.0,35.0
100525,16.1,1197.0,1197.0,85.0,2.09
83000,18.0,1497.0,1497.0,1173.0,6.25
40191,998.0,671.0,671.0,90.0,2.12
62152,18.53,1968.0,1968.0,18774.0,20.0
49000,15.29,1591.0,1591.0,1213.0,8.35
56215,21.4,1197.0,1197.0,831.0,5.03
53000,17.1,1496.0,1496.0,10594.0,6.95
100000,12.55,2982.0,2982.0,1685.0,16.0
36346,16.8,1353.0,1353.0,13808.0,15.22
48000,13.5,1999.0,1999.0,177.0,26.95
42098,18.6,1197.0,1197.0,8186.0,6.7
40000,17.1,1956.0,1956.0,170.0,10.75
64000,20.68,1995.0,1995.0,188.0,25.5
13158,22.56,1197.0,1197.0,8850.0,8.38
65400,17.6,1582.0,1582.0,1262.0,10.9
100000,17.8,1198.0,1198.0,867.0,3.95
30000,26.49,1199.0,1199.0,72.0,7.25
62000,1498.0,986.0,986.0,200.0,4.75
40000,10.98,1984.0,1984.0,1144.0,11.95
35000,12.4,1996.0,1996.0,21501.0,35.0
100525,16.1,1197.0,1197.0,85.0,2.09
83000,18.0,1497.0,1497.0,1173.0,6.25
40191,998.0,671.0,671.0,90.0,2.12
62152,18.53,1968.0,1968.0,18774.0,20.0
49000,15.29,1591.0,1591.0,1213.0,8.35
56215,21.4,1197.0,1197.0,831.0,5.03
53000,17.1,1496.0,1496.0,10594.0,6.95
100000,12.55,2982.0,2982.0,1685.0,16.0
36346,16.8,1353.0,1353.0,13808.0,15.22
48000,13.5,1999.0,1999.0,177.0,26.95
42098,18.6,1197.0,1197.0,8186.0,6.7
40000,17.1,1956.0,1956.0,170.0,10.75
64000,20.68,1995.0,1995.0,188.0,25.5
13158,22.56,1197.0,1197.0,8850.0,8.38
65400,17.6,1582.0,1582.0,1262.0,10.9
100000,17.8,1198.0,1198.0,867.0,3.95
30000,26.49,1199.0,1199.0,72.0,7.25
62000,1498.0,986.0,986.0,200.0,4.75
40000,10.98,1984.0,1984.0,1144.0,11.95
10280,18.4,1498.0,1498.0,11935.0,16.0
17282,21.4,1197.0,1197.0,831.0,5.45
30500,14.4,1997.0,1997.0,15189.0,22.95
60755,20.8,1493.0,1493.0,11343.0,13.51
25000,11.9,1950.0,1950.0,20115.0,40.75
47000,15.4,2179.0,2179.0,13678.0,14.5
59316,16.2,1353.0,1353.0,138.0,13.99
48000,17.1,1496.0,1496.0,1055.0,6.95
20000,14.82,1998.0,1998.0,24808.0,65.0
12503,22.0,999.0,999.0,67.0,5.15
10000,14.3,1368.0,1368.0,16077.0,15.95
73717,16.1,1197.0,1197.0,85.0,2.41
90000,11.3,2987.0,2987.0,2548.0,32.5
17000,17.1,1199.0,1199.0,8850.0,5.95
36047,18.9,1197.0,1197.0,82.0,4.32
45000,998.0,5833.0,5833.0,78.0,4.45
100000,19.3,1248.0,1248.0,739.0,2.0
50000,20.36,1197.0,1197.0,789.0,3.45
51000,22.0,1197.0,1197.0,8180.0,5.5
62000,2179.0,15287.0,15287.0,360.0,8.5
10280,18.4,1498.0,1498.0,11935.0,16.0
17282,21.4,1197.0,1197.0,831.0,5.45
30500,14.4,1997.0,1997.0,15189.0,22.95
60755,20.8,1493.0,1493.0,11343.0,13.51
25000,11.9,1950.0,1950.0,20115.0,40.75
47000,15.4,2179.0,2179.0,13678.0,14.5
59316,16.2,1353.0,1353.0,138.0,13.99
48000,17.1,1496.0,1496.0,1055.0,6.95
20000,14.82,1998.0,1998.0,24808.0,65.0
12503,22.0,999.0,999.0,67.0,5.15
10000,14.3,1368.0,1368.0,16077.0,15.95
73717,16.1,1197.0,1197.0,85.0,2.41
90000,11.3,2987.0,2987.0,2548.0,32.5
17000,17.1,1199.0,1199.0,8850.0,5.95
36047,18.9,1197.0,1197.0,82.0,4.32
45000,998.0,5833.0,5833.0,78.0,4.45
100000,19.3,1248.0,1248.0,739.0,2.0
50000,20.36,1197.0,1197.0,789.0,3.45
51000,22.0,1197.0,1197.0,8180.0,5.5
62000,2179.0,15287.0,15287.0,360.0,8.5
45000,19.16,2494.0,2494.0,1577.0,22.5
17041,20.28,998.0,998.0,11841.0,10.49
49000,16.0,1997.0,1997.0,140.0,9.25
23588,18.27,998.0,998.0,11835.0,9.2
50000,17.9,2143.0,2143.0,1341.0,22.0
76000,11.36,2755.0,2755.0,1715.0,14.75
49341,21.01,1197.0,1197.0,8180.0,5.76
56000,18.0,1198.0,1198.0,867.0,3.25
12000,12.34,1451.0,1451.0,141.0,21.0
51734,17.8,1497.0,1497.0,1173.0,5.72
22000,22.0,1197.0,1197.0,8180.0,5.75
45084,20.5,1582.0,1582.0,1262.0,9.22
20000,15.4,2179.0,2179.0,120.0,11.0
29000,17.8,1198.0,1198.0,867.0,4.8
16763,18.27,998.0,998.0,11835.0,9.69
6000,19.33,1199.0,1199.0,8683.0,6.95
60000,2993.0,26149.0,26149.0,620.0,55.0
86000,15.1,2179.0,2179.0,140.0,5.45
24000,17.1,1199.0,1199.0,8850.0,6.55
9000,20.36,1197.0,1197.0,8180.0,7.75
45000,19.16,2494.0,2494.0,1577.0,22.5
17041,20.28,998.0,998.0,11841.0,10.49
49000,16.0,1997.0,1997.0,140.0,9.25
23588,18.27,998.0,998.0,11835.0,9.2
50000,17.9,2143.0,2143.0,1341.0,22.0
76000,11.36,2755.0,2755.0,1715.0,14.75
49341,21.01,1197.0,1197.0,8180.0,5.76
56000,18.0,1198.0,1198.0,867.0,3.25
12000,12.34,1451.0,1451.0,141.0,21.0
51734,17.8,1497.0,1497.0,1173.0,5.72
22000,22.0,1197.0,1197.0,8180.0,5.75
45084,20.5,1582.0,1582.0,1262.0,9.22
20000,15.4,2179.0,2179.0,120.0,11.0
29000,17.8,1198.0,1198.0,867.0,4.8
16763,18.27,998.0,998.0,11835.0,9.69
6000,19.33,1199.0,1199.0,8683.0,6.95
60000,2993.0,26149.0,26149.0,620.0,55.0
86000,15.1,2179.0,2179.0,140.0,5.45
24000,17.1,1199.0,1199.0,8850.0,6.55
9000,20.36,1197.0,1197.0,8180.0,7.75
14900,16.5,1353.0,1353.0,13805.0,16.5
17172,20.25,998.0,998.0,11841.0,10.33
33000,1950.0,24138.0,24138.0,500.0,78.0
38000,25.17,799.0,799.0,533.0,1.85
11501,19.33,1199.0,1199.0,8683.0,8.24
43703,1950.0,24138.0,24138.0,500.0,82.9
29800,2755.0,20115.0,20115.0,500.0,44.0
22051,21.01,1197.0,1197.0,8180.0,6.98
32965,1197.0,8180.0,8180.0,113.0,5.75
96593,1086.0,6805.0,6805.0,9904.0,2.73
50000,17.01,1591.0,1591.0,1213.0,6.75
15000,14.82,1998.0,1998.0,18908.0,42.0
27138,19.01,1199.0,1199.0,8482.0,5.92
15000,21.4,1197.0,1197.0,831.0,7.25
10000,19.4,2143.0,2143.0,204.0,38.0
9000,1997.0,200.0,200.0,380.0,23.45
10000,18.2,998.0,998.0,11836.0,10.2
70000,18.0,1493.0,1493.0,11343.0,14.95
30000,12.6,1950.0,1950.0,194.0,37.5
16684,20.25,998.0,998.0,11841.0,11.11
30000,2996.0,38487.0,38487.0,520.0,67.0
92543,1197.0,8180.0,8180.0,113.0,2.74
25000,1999.0,19713.0,19713.0,380.0,24.75
59870,21.7,1498.0,1498.0,9896.0,4.95
62700,18.6,1197.0,1197.0,8183.0,5.22
42132,17.8,1493.0,1493.0,1134.0,14.75
32000,15.04,1991.0,1991.0,183.0,25.75
58873,19.0,998.0,998.0,661.0,1.82
10000,14.99,1498.0,1498.0,1045.0,7.95
14069,19.33,1199.0,1199.0,8683.0,8.24
100000,1461.0,1085.0,1085.0,248.0,6.0
80000,19.01,1461.0,1461.0,10845.0,2.85
57453,17.8,1497.0,1497.0,1173.0,6.24
66717,1196.0,70.0,70.0,102.0,70000.0
40000,11.0,2987.0,2987.0,258.0,43.33
16433,1969.0,18740.0,18740.0,300.0,43.75
17860,15.71,1998.0,1998.0,189.0,29.9
52000,11.36,2755.0,2755.0,1715.0,22.5
30000,12.6,1950.0,1950.0,194.0,37.5
16684,20.25,998.0,998.0,11841.0,11.11
30000,2996.0,38487.0,38487.0,520.0,67.0
92543,1197.0,8180.0,8180.0,113.0,2.74
25000,1999.0,19713.0,19713.0,380.0,24.75
59870,21.7,1498.0,1498.0,9896.0,4.95
62700,18.6,1197.0,1197.0,8183.0,5.22
42132,17.8,1493.0,1493.0,1134.0,14.75
32000,15.04,1991.0,1991.0,183.0,25.75
58873,19.0,998.0,998.0,661.0,1.82
10000,14.99,1498.0,1498.0,1045.0,7.95
14069,19.33,1199.0,1199.0,8683.0,8.24
100000,1461.0,1085.0,1085.0,248.0,6.0
80000,19.01,1461.0,1461.0,10845.0,2.85
57453,17.8,1497.0,1497.0,1173.0,6.24
66717,1196.0,70.0,70.0,102.0,70000.0
40000,11.0,2987.0,2987.0,258.0,43.33
16433,1969.0,18740.0,18740.0,300.0,43.75
17860,15.71,1998.0,1998.0,189.0,29.9
52000,11.36,2755.0,2755.0,1715.0,22.5
27200,13.5,2925.0,2925.0,28161.0,77.0
25260,18.9,1197.0,1197.0,82.0,4.37
21421,20.37,1995.0,1995.0,18774.0,45.9
70215,20.36,1197.0,1197.0,789.0,3.08
32900,23.8,1493.0,1493.0,11398.0,20.0
40045,11.9,1950.0,1950.0,20115.0,43.9
75000,19.0,998.0,998.0,661.0,1.68
32325,11.9,1950.0,1950.0,20115.0,44.9
68000,12.4,1996.0,1996.0,21501.0,33.0
78501,20.7,1197.0,1197.0,8186.0,3.94
46853,12.83,1997.0,1997.0,23736.0,45.9
27114,21.01,1197.0,1197.0,8180.0,7.18
10000,998.0,11841.0,11841.0,172.0,11.7
88000,13.0,1591.0,1591.0,1213.0,8.65
58382,19.1,1197.0,1197.0,858.0,3.54
30000,1995.0,188.0,188.0,400.0,19.5
80000,15.0,1598.0,1598.0,1036.0,3.3
32628,11.9,1950.0,1950.0,20115.0,41.9
35000,12.4,1996.0,1996.0,21501.0,36.0
67264,1197.0,82.0,82.0,114.0,3.27
17000,16.0,1950.0,1950.0,16092.0,65.0
77584,26.6,998.0,998.0,5816.0,2.8
50000,7.81,4663.0,4663.0,459.0,98.5
70000,15.4,2179.0,2179.0,120.0,9.0
71977,1197.0,8180.0,8180.0,113.0,2.94
52690,20.89,1197.0,1197.0,8180.0,4.2
11900,14.0,1497.0,1497.0,11318.0,18.25
53747,18.6,1197.0,1197.0,8183.0,5.77
32321,16.55,1995.0,1995.0,1877.0,49.9
55485,19.4,1198.0,1198.0,868.0,3.35
20000,1451.0,141.0,141.0,250.0,17.5
54000,15.8,1997.0,1997.0,247.0,59.75
49404,21.4,1197.0,1197.0,831.0,5.44
32000,1995.0,188.0,188.0,400.0,18.2
100000,10.91,3198.0,3198.0,197.0,22.5
32000,1995.0,188.0,188.0,400.0,18.2
32000,1995.0,188.0,188.0,400.0,18.2
32000,1995.0,188.0,188.0,400.0,18.2
35000,12.4,1996.0,1996.0,21501.0,36.0
67264,1197.0,82.0,82.0,114.0,3.27
17000,16.0,1950.0,1950.0,16092.0,65.0
77584,26.6,998.0,998.0,5816.0,2.8
50000,7.81,4663.0,4663.0,459.0,98.5
70000,15.4,2179.0,2179.0,120.0,9.0
71977,1197.0,8180.0,8180.0,113.0,2.94
52690,20.89,1197.0,1197.0,8180.0,4.2
11900,14.0,1497.0,1497.0,11318.0,18.25
53747,18.6,1197.0,1197.0,8183.0,5.77
32321,16.55,1995.0,1995.0,1877.0,49.9
55485,19.4,1198.0,1198.0,868.0,3.35
20000,1451.0,141.0,141.0,250.0,17.5
54000,15.8,1997.0,1997.0,247.0,59.75
49404,21.4,1197.0,1197.0,831.0,5.44
32000,1995.0,188.0,188.0,400.0,18.2
100000,10.91,3198.0,3198.0,197.0,22.5
32000,1995.0,188.0,188.0,400.0,18.2
32000,1995.0,188.0,188.0,400.0,18.2
32000,1995.0,188.0,188.0,400.0,18.2
8000,1997.0,200.0,200.0,380.0,24.0
33841,998.0,671.0,671.0,90.0,3.17
32000,1995.0,188.0,188.0,400.0,18.2
9246,19.4,999.0,999.0,11398.0,15.62
42000,10.75,2694.0,2694.0,1637.0,17.9
32000,1995.0,188.0,188.0,400.0,18.2
42462,27.28,1047.0,1047.0,69.0,4.3
32000,1995.0,188.0,188.0,400.0,18.2
30000,12.05,2157.0,2157.0,17849.0,24.75
96660,18.5,1197.0,1197.0,8285.0,2.47
32000,1995.0,188.0,188.0,400.0,18.2
38963,18.9,1197.0,1197.0,82.0,4.13
70000,18.5,1197.0,1197.0,805200.0,1.6
32000,1995.0,188.0,188.0,400.0,19.5
63249,18.9,1197.0,1197.0,8186.0,4.59
32000,1995.0,188.0,188.0,400.0,19.5
40000,1998.0,18740.0,18740.0,280.0,32.0
82000,19.01,1462.0,1462.0,10326.0,7.49
38000,20.73,1373.0,1373.0,911.0,6.75
40500,14.11,2199.0,2199.0,19726.0,25.25
40000,1493.0,9863.0,9863.0,240.0,11.55
