kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
30615,17.4,999.0,69.93,9863.0,8.99
24000,20.68,1995.0,139.65,188.0,23.75
18378,16.5,1353.0,94.71000000000001,13808.0,13.56
42000,18.7,1199.0,83.93,887.0,5.45
36739,18.9,1197.0,83.79,8186.0,5.12
76000,15.8,1591.0,111.37,1213.0,9.3
28783,17.0,1198.0,83.86000000000001,1085.0,8.02
40000,17.4,1497.0,104.79,1176.0,10.95
17382,16.42,1498.0,104.86000000000001,10455.0,8.99
17000,18.15,998.0,69.86000000000001,11835.0,10.95
26867,18.9,1197.0,83.79,8186.0,5.78
30000,21.0,1197.0,83.79,8180.0,8.95
53000,22.69,1995.0,139.65,190.0,23.5
40000,17.0,1497.0,104.79,12136.0,7.95
48000,14.1,1368.0,95.76,16077.0,18.95
100525,16.1,1197.0,83.79,85.0,2.09
83000,18.0,1497.0,104.79,1173.0,6.25
49000,15.29,1591.0,111.37,1213.0,8.35
56215,21.4,1197.0,83.79,831.0,5.03
53000,17.1,1496.0,104.72000000000001,10594.0,6.95
36346,16.8,1353.0,94.71000000000001,13808.0,15.22
48000,13.5,1999.0,139.93,177.0,26.95
42098,18.6,1197.0,83.79,8186.0,6.7
40000,17.1,1956.0,136.92000000000002,170.0,10.75
64000,20.68,1995.0,139.65,188.0,25.5
13158,22.56,1197.0,83.79,8850.0,8.38
65400,17.6,1582.0,110.74000000000001,1262.0,10.9
100000,17.8,1198.0,83.86000000000001,867.0,3.95
17282,21.4,1197.0,83.79,831.0,5.45
30500,14.4,1997.0,139.79000000000002,15189.0,22.95
60755,20.8,1493.0,104.51,11343.0,13.51
47000,15.4,2179.0,152.53,13678.0,14.5
59316,16.2,1353.0,94.71000000000001,138.0,13.99
48000,17.1,1496.0,104.72000000000001,1055.0,6.95
73717,16.1,1197.0,83.79,85.0,2.41
17000,17.1,1199.0,83.93,8850.0,5.95
36047,18.9,1197.0,83.79,82.0,4.32
100000,19.3,1248.0,87.36000000000001,739.0,2.0
50000,20.36,1197.0,83.79,789.0,3.45
51000,22.0,1197.0,83.79,8180.0,5.5
45000,19.16,2494.0,174.58,1577.0,22.5
17041,20.28,998.0,69.86000000000001,11841.0,10.49
49000,16.0,1997.0,139.79000000000002,140.0,9.25
23588,18.27,998.0,69.86000000000001,11835.0,9.2
50000,17.9,2143.0,150.01000000000002,1341.0,22.0
49341,21.01,1197.0,83.79,8180.0,5.76
56000,18.0,1198.0,83.86000000000001,867.0,3.25
51734,17.8,1497.0,104.79,1173.0,5.72
22000,22.0,1197.0,83.79,8180.0,5.75
45084,20.5,1582.0,110.74000000000001,1262.0,9.22
20000,15.4,2179.0,152.53,120.0,11.0
29000,17.8,1198.0,83.86000000000001,867.0,4.8
16763,18.27,998.0,69.86000000000001,11835.0,9.69
